id,name,slug,description,category_id,base_price,compare_at_price,cost_per_item,fabric,fit,color,is_visible,is_featured,deleted_at,created_at,updated_at
TDO-CT-BLK,Dress Coat,Dress Coat,"Premium Advocate Dress Coat crafted for a sharp and professional courtroom look.
Made from high-quality fabric for comfort, durability, and a perfect fit.
Available in multiple sizes for both regular and senior styles.",Men's Legal Attire,2500,3000,,Polyviscose,Standard,Black,TRUE,TRUE,,2026-04-01 20:29:36.468203+00,2026-04-01 20:29:36.468203+00
TDO-WC-BLK,Dress Waistcoat,Dress Waistcoat,"Premium Dress Waistcoat (Half Jacket) designed for a sharp and elegant formal look.
Made with high-quality Raymond fabric for superior comfort and durability.
Available in multiple sizes, perfect for professional and special occasions.",Men's Legal Attire,1400,1800,,Polyviscose,Standard,Black,TRUE,TRUE,,2026-04-01 20:29:36.468203+00,2026-04-01 20:29:36.468203+00
TDO-PC-RAY,Pant Cloth,pant-cloth-raymond,Premium Raymond pant cloth offering superior quality fabric for tailored trousers. Smooth texture and ideal length for professional stitching.,Men's Legal Attire,1200,1500,,Raymond Fabric,Standard,Grey/Black,TRUE,TRUE,,,
TDO-GW-SH-WHT,White Dress Shirt,white-dress-shirt,"Classic white dress shirt designed for a crisp and professional appearance. Comfortable fabric with a tailored fit, ideal for legal and formal wear.",Men's Legal Attire,700,900,,Cotton Blend,Slim/Regular,White,TRUE,TRUE,,,
TDO-GW-BLK-BUR,Advocate Gown - Burkha,gown-burkha,Premium advocate gown crafted in Burkha fabric for durability and comfort. Designed for a professional courtroom appearance with a structured and elegant fall.,Men's Legal Attire,1800,2200,,Burkha Fabric,Standard,Black,TRUE,FALSE,,,
TDO-GW-BLK-SUN,Advocate Gown - Sunsilk,gown-sunsilk,Lightweight and smooth Sunsilk fabric gown offering comfort and refined appearance. Ideal for regular courtroom use with a polished finish.,Men's Legal Attire,2000,2400,,Sunsilk Fabric,Standard,Black,TRUE,FALSE,,,
TDO-GW-BLK-TCT,Advocate Gown - T-Cot,gown-tcot,Durable T-Cot fabric gown combining comfort and longevity. Designed for daily professional use with a neat and structured look.,Men's Legal Attire,2000,2400,,T-Cot Fabric,Standard,Black,TRUE,FALSE,,,
TDO-GW-BLK-SBUR,Advocate Gown - Superior Burkha,gown-superior-burkha,High-quality superior Burkha fabric gown with enhanced finish and durability. Offers a premium courtroom look with excellent drape.,Men's Legal Attire,3500,4000,,Superior Burkha,Standard,Black,TRUE,TRUE,,,
TDO-GW-BLK-RAY,Advocate Gown - Raymond,gown-raymond,Premium Raymond fabric gown known for superior quality and finish. Perfect for professionals seeking a refined and long-lasting garment.,Men's Legal Attire,4500,5200,,Raymond Fabric,Standard,Black,TRUE,TRUE,,,
TDO-GW-BLK-RT,Advocate Gown - Read & Tailor,gown-read-tailor,High-end Read & Tailor fabric gown offering excellent craftsmanship and premium feel. Designed for a distinguished courtroom presence.,Men's Legal Attire,4500,5200,,Read & Tailor,Standard,Black,TRUE,FALSE,,,
TDO-GW-BLK-LAC,Advocate Gown - Lachka,gown-lachka,Premium Lachka fabric gown with superior drape and elegant texture. Ideal for senior professionals seeking a luxurious finish.,Men's Legal Attire,7500,8500,,Lachka Fabric,Standard,Black,TRUE,TRUE,,,
TDO-GW-BLK-SRAY,Senior Advocate Gown - Raymond,senior-gown-raymond,"Senior advocate gown crafted from Raymond fabric, offering a refined and authoritative courtroom appearance with superior comfort.",Men's Legal Attire,6500,7200,,Raymond Fabric,Senior,Black,TRUE,TRUE,,,
TDO-GW-BLK-SBUR,Senior Advocate Gown - Burkha,senior-gown-burkha,Durable Burkha fabric gown tailored for senior advocates. Provides a structured and professional look suitable for daily court use.,Men's Legal Attire,4500,5200,,Burkha Fabric,Senior,Black,TRUE,FALSE,,,
TDO-GW-BLK-SLKS,Senior Advocate Gown - Korea Silk,senior-gown-korea-silk,Premium Korea silk gown designed for senior advocates. Offers a luxurious finish with smooth texture and elegant drape.,Men's Legal Attire,8000,9000,,Korea Silk,Senior,Black,TRUE,TRUE,,,
TDO-GW-WC-BLK,Women's Dress Coat,womens-dress-coat,"Premium women’s advocate coat tailored for a sharp and elegant courtroom appearance. Designed with a flattering fit, high-quality fabric, and superior comfort for long professional hours.",Women's Legal Attire,2500,3000,,Polyviscose,Tailored,Black,TRUE,TRUE,,,
TDO-ACC-COT3,Dress Socks Pack,dress-socks-pack,"Comfortable cotton stretch dress socks designed for daily formal wear. Soft, breathable, and durable with a snug fit. Ideal for long hours in professional settings.",Accessories,90,120,,100% Cotton,Regular,Black,TRUE,FALSE,,,
TDO-ACC-TIE,Black Tie,black-tie,Classic black formal tie crafted with a smooth satin finish. Designed for a refined and professional look. Perfect for courtroom and formal occasions.,Accessories,120,150,,Polyester,Standard,Black,TRUE,TRUE,,,
TDO-ACC-BLT,Leather Belt,leather-belt,Premium genuine leather belt with a durable metal buckle. Offers a classic formal look with adjustable fit and long-lasting performance.,Accessories,400,500,,Genuine Leather,Standard,Black,TRUE,TRUE,,,
TDO-ACC-PRS,Leather Purse,leather-purse,"Elegant leather purse designed for everyday professional use. Compact, durable, and stylish with ample storage for essentials.",Accessories,300,400,,Genuine Leather,Standard,Black,TRUE,FALSE,,,
TDO-ACC-SCK,Dress Socks,dress-socks,Soft and comfortable dress socks suitable for formal wear. Designed for breathability and durability with a clean finish.,Accessories,100,130,,Cotton Blend,Regular,Black,TRUE,FALSE,,,
TDO-PKG-CO-PN,Coat & Pant Set (2-Piece),coat-pant-set-2-piece,Elegant 2-piece package including premium advocate coat and matching pant. Designed for a sharp professional courtroom appearance with superior comfort.,Men's Legal Attire,3800,4200,,Polyviscose / Raymond,Standard,Black,TRUE,TRUE,,,
TDO-PKG-WC-PN,Waistcoat & Pant Set (2-Piece),waistcoat-pant-set-2-piece,Classic 2-piece package including tailored waistcoat and matching pant. Ideal for courtroom or professional formal wear.,Men's Legal Attire,2600,3000,,Polyviscose / Raymond,Standard,Black,TRUE,TRUE,,,
TDO-PKG-SH-PN,Dress Shirt & Pant Set (2-Piece),shirt-pant-set-2-piece,Comfortable 2-piece package with premium dress shirt and matching pant. Perfect for professional and formal occasions.,Men's Legal Attire,2000,2300,,Cotton Blend / Raymond,Standard,Black/White,TRUE,TRUE,,,
TDO-PKG-CO-WC-PN,"Coat, Waistcoat & Pant (3-Piece)",coat-waistcoat-pant-set-3-piece,"Complete 3-piece package with premium coat, tailored waistcoat, and matching pant. Designed for a polished professional appearance in the courtroom.",Men's Legal Attire,5000,5500,,Polyviscose / Raymond,Standard,Black,TRUE,TRUE,,,
